tiempo,prediccion,fase_aplicada,Bolivar_llegada_Cordero_cola,Bolivar_llegada_Cordero_espera,LuisCordero_entre_Bolivar_Sucre_cola,LuisCordero_entre_Bolivar_Sucre_espera
498.0,1,1,1,0.0,9,19.555555555555557
499.0,1,1,0,0.0,9,20.555555555555557
500.0,1,1,0,0.0,9,21.555555555555557
501.0,1,1,0,0.0,9,22.555555555555557
502.0,1,1,1,0.0,9,23.555555555555557
503.0,1,1,0,0.0,9,22.1
504.0,1,1,1,0.0,9,25.555555555555557
505.0,1,1,0,0.0,9,23.9
506.0,1,1,0,0.0,9,27.555555555555557
507.0,1,1,0,0.0,9,28.555555555555557
508.0,1,1,0,0.0,9,29.555555555555557
509.0,1,1,0,0.0,9,30.555555555555557
510.0,1,1,0,0.0,9,28.4
511.0,1,1,0,0.0,9,29.3
512.0,1,1,0,0.0,9,27.454545454545453
513.0,1,1,0,0.0,9,28.272727272727273
514.0,1,1,0,0.0,9,29.09090909090909
515.0,1,1,0,0.0,9,25.307692307692307
516.0,1,1,0,0.0,9,28.166666666666668
517.0,1,1,0,0.0,9,28.916666666666668
518.0,1,1,0,0.0,9,29.666666666666668
519.0,1,1,0,0.0,10,28.153846153846153
520.0,1,1,0,0.0,11,31.416666666666668
521.0,1,1,0,0.0,11,32.333333333333336
522.0,1,1,0,0.0,12,30.76923076923077
523.0,1,1,1,1.0,10,24.25
524.0,1,1,1,2.0,8,16.90909090909091
525.0,1,1,1,3.0,7,12.166666666666666
526.0,1,1,1,4.0,5,11.777777777777779
527.0,1,1,1,5.0,3,7.555555555555555
528.0,1,1,1,6.0,1,3.5555555555555554
529.0,1,1,2,3.5,0,0.0
530.0,0,0,1,4.0,0,0.0
531.0,1,0,1,4.5,0,0.0
532.0,0,0,1,5.0,0,0.0
533.0,1,0,1,5.5,0,0.0
534.0,1,0,1,6.0,0,0.0
535.0,0,0,1,6.5,0,0.0
536.0,0,0,1,7.0,0,0.0
